社区,体检安全,体检民生,12345安全,12345民生,bldg_n,area_km2,resi_km2,TJ安/百栋,TJ民/百栋,热线安/千栋,热线民/千栋,体检点/km2,热线件/km2,TJ安EB,TJ民EB,热线安EB,热线民EB,score,rank_new,rank_old,Δ(old-new)
土街头社区,9,4,1,2,38,0.1802121440348813,0.019252636706939875,23.684210526315788,10.526315789473683,26.31578947368421,52.63157894736842,675.2321875638974,155.82281251474555,22.56794811079277,9.376172903206086,28.081421186815316,54.73117460966593,0.6123417721518988,55,62,7
中书街社区,5,1,2,7,34,0.4157557303654487,0.024115012181617188,14.705882352941178,2.941176470588235,58.8235294117647,205.88235294117646,248.8076702931871,373.21150543978064,14.045127621486936,3.064969533269197,59.31761496849393,207.18134689041278,0.6091772151898734,56,92,36
张家坡社区,1,1,14,71,85,0.25721046785904333,0.04230185176654287,1.1764705882352942,1.1764705882352942,164.7058823529412,835.2941176470589,47.279254133783056,2009.3683006857798,1.264177934480674,1.3767727524833462,162.94058729112322,834.0905078165592,0.6075949367088608,57,43,-14
桥北社区,17,20,0,1,48,0.20315657973058807,0.0327345518814396,35.41666666666667,41.66666666666667,0.0,20.833333333333332,1130.3041548883673,30.548760942928844,33.97654149015155,36.4707080253214,2.26383955915927,22.651661938035986,0.6060126582278481,58,45,-13
沈家店社区,0,3,0,21,21,0.2605152366695955,0.011808723879430343,0.0,14.285714285714285,0.0,1000.0,254.0494663632292,1778.346264542604,0.44619348909458684,11.453503123176183,4.967211986533473,993.3562813961909,0.5933544303797469,59,108,49
石子岭社区,6,4,3,5,60,0.1921953870112926,0.046016507000892506,10.0,6.666666666666667,50.0,83.33333333333333,217.31332193045523,173.85065754436417,9.79153649466376,6.324392653394245,50.516176405457735,84.54697328547773,0.5925632911392406,60,66,6
李家湖社区,0,1,4,37,38,0.39085491909600895,0.027744556549017464,0.0,2.631578947368421,105.26315789473684,973.6842105263158,36.04310626602585,1477.76735690706,0.2581644181445201,2.7960651354866912,103.81957576506386,970.1553325589332,0.5925632911392406,61,94,33
常家湾社区,14,13,1,3,82,0.19340733300107676,0.041872118345262783,17.073170731707318,15.853658536585366,12.195121951219512,36.58536585365854,644.8204931350136,95.52896194592795,16.722754780536576,14.816933442929429,13.303520817353517,37.607140700369044,0.5917721518987341,62,35,-27
金家台社区,2,2,6,11,63,0.19127098485130223,0.02898464087870884,3.1746031746031744,3.1746031746031744,95.23809523809523,174.60317460317458,138.00412489975915,586.5175308239765,3.220251846313455,3.2224362444624823,94.60292244997643,175.4220020210086,0.5854430379746836,63,81,18
铁路坝社区,4,21,0,5,56,0.24018512444888973,0.04307029844365168,7.142857142857142,37.5,0.0,89.28571428571429,580.4464074635373,116.08928149270747,7.034749184385716,33.45514333993834,1.9494728186310375,90.56095136065044,0.5854430379746836,64,50,-14
绿萝路社区,21,10,0,1,52,0.19415996677995695,0.03908007692733619,40.38461538461539,19.230769230769234,0.0,19.230769230769234,793.2430649417621,25.588485965863292,38.8364743714637,17.2418915585097,2.094928308466528,20.91702036608564,0.5806962025316457,65,54,-11
石板溪社区,0,3,17,59,80,0.1824654475571495,0.057172412486287114,0.0,3.75,212.5,737.5,52.4728600655002,1329.3124549926717,0.126481543697594,3.738677514092612,209.68358100968732,736.5061626966589,0.5806962025316456,66,65,-1
柏临河路社区,0,1,15,52,60,1.9192683521326808,0.04248887261144095,0.0,1.6666666666666667,250.0,866.6666666666667,23.53557387000969,1576.8834492906492,0.16705883674614147,1.8859948492670344,245.28926387252167,864.8418058989914,0.5759493670886076,67,72,5
